node_id,name,name_native,birth_year,death_year,styles,locality,wikipedia_url,reason,status
A0001,Hwang Kee,,1914,2002,tang-soo-do|soo-bahk-do|korean-martial-arts,,https://en.wikipedia.org/wiki/Hwang_Kee,"[island research] Founder of the Moo Duk Kwan and of Tang Soo Do Moo Duk Kwan / Soo Bahk Do; required as the bridge node: documented teacher of Shin Jae-chul (who taught Chuck Norris), and claimed student of Won Kuk Lee at the Chung Do Kw",proposed
A0002,Werner Schenker,,,,kyokushin,,,"[island research] Andy Hug's first and formative Kyokushin karate teacher at the Wohlen karate school in Switzerland, explicitly named in Hug's Wikipedia biography. Swiss Kyokushin instructor; no Wikipedia article of his own and no docume",proposed
A0003,Nam Tae-hi,,1929,2013,taekwondo|tang-soo-do|korean-martial-arts,,https://en.wikipedia.org/wiki/Nam_Tae-hi,"[island research] Bridge person: Chung Do Kwan senior under Won Kuk Lee, co-founder of the Oh Do Kwan with Choi Hong-hi (Q356335, already in tree) and described as Choi's right-hand man, and the documented instructor of Jhoon Rhee. Not pr",proposed
A0004,T'ung Gee Hsing,,,,kung-fu|shuri-te|kenpo,,,"[island research] Trias's primary claimed teacher (xingyiquan and Shuri karate kempo, Tulagi 1944) and the traditional bridge to Motobu Choki via Kume Mura. No standalone Wikipedia article; covered within the Robert Trias and Shuri-ryu ar",proposed
A0005,William J. Dometrich,,1935,2012,chito-ryu,,https://en.wikipedia.org/wiki/William_J._Dometrich,"[island research] American Chito-ryu pioneer, direct student of founder Tsuyoshi Chitose from 1952 in Kyushu, founder of the United States Chito-ryu Karate Federation; documented teacher of Vic Moore, giving the island a second, well-docu",proposed
A0006,Frank Ruiz,,1934,1995,goju-ryu|nisei-goju|karate-generic,,,"[island research] Co-founder of the Nisei Goju-Ryu system (1969), student of Peter Urban and teacher of Ron van Clief; needed as bridge for the documented Urban -> Ruiz -> van Clief chain. Documented via Nisei Goju organisation biography ",proposed
A0007,Shu Shiwa (Zhou Zihe),,1874,1926,pangai-noon|kung-fu|chinese-martial-arts,,,"[lineage completion] Kanbun Uechi's documented teacher in Fuzhou, China; essential to root the Uechi-ryu line. Dates per the Uechi-ryu Europe chronology; teaching relationship per Wikipedia (Kanbun Uechi, Uechi-ryu articles).",proposed
A0008,Seiyu Shinjo,,1929,1981,uechi-ryu,,,"[lineage completion] Second-generation Shinjo: student of Kanbun Uechi (from 1939) and listed student of Kanei Uechi; father and teacher of orphan Kiyohide Shinjo (Q6418995) and teacher of Tsutomu Nakahodo (C00628), so the documented chains ",proposed
A0009,Seiko Toyama,,1928,2009,uechi-ryu,,,"[lineage completion] Last surviving Wakayama-era direct student of Kanbun Uechi (from 1938), senior under Kanei Uechi, founder of the Uechi-ryu Zankyokai, and a named teacher of Tsutomu Nakahodo. Sources: en.wikipedia.org/wiki/Kanbun_Uechi, ",proposed
A0010,Shinyu Gushi,,,2012,uechi-ryu|pangai-noon,,,[lineage completion] Notable student listed in Kanei Uechi's Wikipedia infobox and explicitly documented student of Saburo Uehara (IUKF biography) and Seiyu Shinjo; founder of the RyuKoKaku line in the USA; died November 2012 per IUKF obitua,proposed
A0011,An'ichi Miyagi,,1931,2009,goju-ryu,,,"[lineage completion] Needed to complete the documented chain Chojun Miyagi -> An'ichi Miyagi -> Morio Higaonna (Q2599967, connected). Trained at Miyagi's garden dojo 1948-1953 (per IOGKF and Wikipedia's Chojun Miyagi student list; extent dis",proposed
A0012,Juhatsu Kyoda,,1887,1968,toon-ryu|naha-te|goju-ryu,,https://en.wikipedia.org/wiki/Juhatsu_Kyoda,"[lineage completion] Founder of To'on-ryu and the most senior student of Kanryo Higaonna (entered the dojo in 1902, one month before Chojun Miyagi, and stayed until Higaonna's death); also an early teacher of Kanki Izumigawa (Q16006586). Abs",proposed
A0013,Ken Miyagi,,1931,2003,,,,[lineage completion] Specifically requested by the researcher. Verified: Ken was Chojun Miyagi's fourth son (b. 1931; d. 2003 per an interview with his son Toru Miyagi at https://karateresearch.com/2025/11/18/remembering-miyagi-chojun-a-conv,proposed
A0014,Tetsuji Nakamura,,1965,,goju-ryu|karate-generic,,,"[lineage completion] IOGKF World Chief Instructor since 2012, Higaonna's designated successor. Not in either roster (the Nakamura orphans are unrelated manual entries).",proposed
