orphan_id,orphan_name,orphan_styles,possible_relatives
B0003,Eiji Kinjo,,Seizan Kinjo (A0069); Tsuneo Kinjo (A0143); Arata Kinjo (A0191); Akio Kinjo (C00002); Chinsaku Kinjo (C00016)
B0006,Hideki Kojo,kojo-ryu,"Akahige Kojo (C00001, shared style family); Kafu Kojo (C00107, shared style family); Kaho Kojo (C00108, shared style family); Isei Kojo (C00141, shared style family); Saikyo Kojo (C00263, shared style family)"
B0009,Eiki Kaneji,,Eiki Kurashita (A0133)
B0013,Bushi Kunishi,,Bushi Nagahama (W0015)
B0014,Jerry Gold,karate-generic,Jerry Figgiani (A0062)
B0016,Kencho Miyagi,,An'ichi Miyagi (A0011); Ken Miyagi (A0013); Takao Miyagi (B0020); Hiroshi Miyagi (C00113); Noboru Miyagi (C00239)
B0018,Yamada (of Tomari),tomari-te,Haruyoshi Yamada (A0080); Dr Minoru Yamada (C00047); Michio Yamada (J0094); Tatsuo Yamada (Q11470681); Masatoshi Yamada (R0143)
B0021,Arakaki no TANMEI,,Toshimitsu Arakaki (A0056); Seiki Arakaki (C00279); Morimasa Arakaki (C00374); Arakaki Isamu (J0027); Akiyoshi Arakaki (J0104)
B0026,Kenwa Kanna,,Kenwa Mabuni (Q453505)
C00017,Chobi Kishaba,karate-generic,"Chogi Kishaba (Q5103850, shared style family); Chokei Kishaba (Q5104212, shared style family)"
C00102,Junjiro Nishime,karate-generic,Kiyoshi Nishime (A0126)
C00106,Kaoru Kojo,karate-generic,"Akahige Kojo (C00001, shared style family); Kaoru Kinjo (C00105, shared style family); Kafu Kojo (C00107, shared style family); Kaho Kojo (C00108, shared style family); Isei Kojo (C00141, shared style family)"
C00111,Kanaa Kanagusuku,karate-generic,"Sanda Kanagusuku (C00450, shared style family)"
C00118,Sakuhei Yoshida,karate-generic,"Yoshida Kotaro (R0213, shared style family)"
