kind,what,reason,override_file
drop_non_person,"Akamine (Q21491858, other)","[panel, high confidence] Wikidata Q21491858 is the family-name item 'Akamine' (a surname record with phonetic codes), not a person; the birth year 1962 is spurious. If a kobudo Akamine (Eisuke or Hiroshi, Ryukyu Kobudo Shimbukan) is needed, that must be a separate correctly linked node. Remove this artefact.",node_verdicts.csv
drop_non_person,"American Kenpo (Q525270, concept)","American Kenpo is a martial art style (Ed Parker's system), not a person; 'birth' 2015 is nonsense for a human and confirms a style/article entity.",node_verdicts.csv
drop_non_person,"Battle of Okinawa (Q192660, event)","1945 Second World War battle; leaked via Okinawan karate history context, not a person.",node_verdicts.csv
drop_non_person,"Bobby Lowe (Q4935308, wrong_entity)","Wikidata-verified as Robert Lincoln ""Link"" Lowe (1865-1951), American baseball player wrongly matched; the karateka Bobby Lowe is Q221797, which already carries the Mas Oyama edge.",node_verdicts.csv
drop_non_person,"Bojutsu (Q961126, technique)","Japanese/Okinawan staff fighting art, a discipline not a person",node_verdicts.csv
drop_non_person,"Bringing Up Baby (Q179743, media)","1938 American screwball comedy film, not a martial artist",node_verdicts.csv
drop_non_person,"Camp Zama (Q3274794, place)","US Army post in Kanagawa, Japan; venue where servicemen trained, not a person.",node_verdicts.csv
drop_non_person,"Campbell (Q226474, wrong_entity)","[entity audit] Q226474 is a Wikimedia disambiguation page for the surname/given name 'Campbell', not a person, with no martial-arts content. The dataset dates 1870-1938 cannot be attributed to any identifiable karate or taekwondo figure named only 'Campbell'; a bare surname",node_verdicts.csv
drop_non_person,"Caucasian race (Q7129609, concept)",Obsolete anthropological classification; birth year 3589 is spurious. Not a person.,node_verdicts.csv
drop_non_person,"Chatan (Q1351759, place)","Town in Okinawa (home of Chatan Yara, but this entity is the place)",node_verdicts.csv
drop_non_person,"Chinto (Q1493578, kata)","Chinto is a Shuri-te/Tomari-te lineage kata (named after the shipwrecked Chinese sailor); this QID is the kata article, not the semi-legendary man.",node_verdicts.csv
drop_non_person,"Chubu Shorin (C00046, organisation)","'Central (Chubu) Shorin[-ryu]' style/branch fragment, not a person",node_verdicts.csv
drop_non_person,"David Scot (Q18783605, wrong_entity)","[entity audit] Q18783605 is David Scot (c. 1770-1834), a Scottish orientalist and writer; the dataset dates match him exactly. Wikidata records no martial-arts connection whatsoever, and no karateka named David Scot exists in any lineage source consulted. A 1770-1834 Scottis",node_verdicts.csv
drop_non_person,"Enlightened Spirit (C00054, concept)","English translation of a term/dojo name, not a person",node_verdicts.csv
